State,Country_or_Non_US,Total_Family_Submissions,Approved_Submissions,Total_Financial_Loss,Avg_Financial_Loss,Parents_Pro_Se,Reported_Loss_Count,Avg_Months_Lost,Actor_Name_Groups,Public_Actors,Below_Threshold_Actors,Total_Families_Naming_Actors,Top_3_Actors,Top_3_Roles,Report_PDF
"CO","","102","77","22284909","250392.24","62","20","33.7","155","1","154","164","Kimberly B. Schutt (Judge) — 4 families; Christina Strong-Dye (CPS Worker) — 2 families; Echo Ryan (Judge) — 2 families","Attorney: 42 actors / 43 families; Judge: 32 actors / 36 families; CPS Worker: 26 actors / 29 families","https://my.standwithmeg.com/state-reports/CO.pdf"
"CT","","62","45","23618930","400320.85","43","14","31.9","93","8","85","132","Ronald Kowalski (Judge) — 9 families; Heidi Opinsky (Attorney) — 5 families; Ingemar Heredia (Attorney) — 5 families","Judge: 23 actors / 45 families; Attorney: 33 actors / 43 families; GAL: 15 actors / 19 families","https://my.standwithmeg.com/state-reports/CT.pdf"
"DC","","1","1","175000","175000","0","0","11","4","0","4","4","Ebony Scott (Judge) — 1 families; Ronald Colbert (Attorney) — 1 families; Sharon Legal (Attorney) — 1 families","Judge: 2 actors / 2 families; Attorney: 2 actors / 2 families",""
"DE","","10","6","354199","50599.86","7","5","10.4","3","0","3","4","Jennifer B. Ranji (Judge) — 2 families; Alfred Cave (GAL / Child Representative) — 1 families; Emma Stockwin (CPS Worker) — 1 families","Judge: 1 actors / 2 families; GAL: 1 actors / 1 families; CPS Worker: 1 actors / 1 families",""
"FL","","282","218","50565867","208949.86","162","63","28.8","345","12","333","411","Kristin Kanner (Judge) — 6 families; Marlon Weiss (Judge) — 6 families; Jon Gann (Attorney) — 5 families","Judge: 100 actors / 133 families; Attorney: 93 actors / 104 families; CPS Worker: 52 actors / 59 families","https://my.standwithmeg.com/state-reports/FL.pdf"
"GA","","140","114","30508328","232888","65","27","32.9","187","10","177","238","Ashley Wine (GAL / Child Representative / Attorney) — 7 families; Brandy Daswani (GAL / Child Representative) — 7 families; Jennifer Davis (Judge) — 7 families","Judge: 51 actors / 68 families; Attorney: 49 actors / 56 families; GAL: 31 actors / 47 families","https://my.standwithmeg.com/state-reports/GA.pdf"
"","Guernsey","1","1","30000","30000","1","0","","0","0","0","0","","",""
"HI","","10","6","3446300","430787.5","6","0","31","14","0","14","14","Anne Liu (Attorney) — 1 families; Carol Plummer (GAL / Child Representative) — 1 families; Dr. Stacy Hoffman. (Custody Evaluator) — 1 families","Attorney: 5 actors / 5 families; Judge: 3 actors / 3 families; CPS Worker: 3 actors / 3 families",""
"IA","","89","71","10995196","137439.95","48","24","42.5","113","3","110","143","Cynthia Hucks (Attorney) — 13 families; Reyna Wilkens (GAL / Child Representative / Attorney / GAL / Child Representative / Other) — 5 families; Joel D. Yates (Judge) — 4 families","Attorney: 25 actors / 41 families; CPS Worker: 32 actors / 34 families; Judge: 26 actors / 33 families","https://my.standwithmeg.com/state-reports/IA.pdf"
"ID","","35","28","13982422","436950.69","14","5","25.2","52","0","52","57","Aaron Woolf (Attorney) — 2 families; Jeff Moreno (Custody Evaluator) — 2 families; Jim Davidson (Custody Evaluator) — 2 families","Attorney: 16 actors / 17 families; Judge: 15 actors / 17 families; Custody Evaluator: 4 actors / 6 families","https://my.standwithmeg.com/state-reports/ID.pdf"
"IL","","132","98","27242805","228931.13","64","31","27.4","145","3","142","166","Neal Cerne (Judge) — 4 families; Kelly Stephen (GAL / Child Representative) — 3 families; Prairie State Legal Services (Attorney) — 3 families","Judge: 46 actors / 53 families; Attorney: 38 actors / 43 families; GAL: 31 actors / 37 families","https://my.standwithmeg.com/state-reports/IL.pdf"
"IN","","145","122","15428584","113445.47","69","37","30.2","229","9","220","292","David C. Bonfiglio (Judge) — 18 families; Mary Raatz (GAL / Child Representative) — 10 families; Heidi Cintron (Judge) — 5 families","Judge: 45 actors / 76 families; CPS Worker: 57 actors / 65 families; Attorney: 52 actors / 59 families","https://my.standwithmeg.com/state-reports/IN.pdf"
"","India","1","1","0","0","1","0","","0","0","0","0","","",""
"","Indonesia","1","1","","","0","1","","0","0","0","0","","",""
"","International (location unspecified)","7","0","0","0","4","0","","0","0","0","0","","",""
"KS","","229","167","25405322","123326.81","120","53","30.9","261","24","237","378","Andrew Bolton (GAL / Child Representative / Other) — 12 families; Naomi Cataudella (Reunification Therapist) — 10 families; Keven O'Grady (Judge) — 8 families","Judge: 67 actors / 110 families; Attorney: 76 actors / 95 families; GAL: 31 actors / 64 families","https://my.standwithmeg.com/state-reports/KS.pdf"
"KY","","82","65","12200154","174287.91","38","21","37","80","2","78","89","Dewana McLean (CPS Worker) — 3 families; Kimberly  Walson (Judge) — 3 families; Amber Hensley (CPS Worker) — 2 families","Judge: 23 actors / 27 families; CPS Worker: 20 actors / 23 families; Attorney: 19 actors / 20 families","https://my.standwithmeg.com/state-reports/KY.pdf"
"LA","","60","44","8942822","175349.45","31","15","38.2","52","2","50","65","Michael Clement (Judge) — 5 families; Terri Campesta (Custody Evaluator) — 5 families; Dawn Amacker (Judge) — 2 families","Judge: 15 actors / 22 families; Attorney: 18 actors / 20 families; Custody Evaluator: 1 actors / 5 families","https://my.standwithmeg.com/state-reports/LA.pdf"
"MA","","99","71","19004457","208840.19","58","21","26.6","124","6","118","152","Frances M. Giordano (Judge) — 5 families; Carla A. Salvucci (Judge) — 4 families; Lawrence Army Jr. (Judge) — 4 families","Judge: 36 actors / 56 families; Attorney: 39 actors / 42 families; GAL: 19 actors / 24 families","https://my.standwithmeg.com/state-reports/MA.pdf"
"MD","","48","39","7634799","186214.61","20","12","25.7","40","0","40","41","William Tucker (Judge) — 2 families; Alexandra Mirabelli (Custody Evaluator) — 1 families; Ann Greenwood (Custody Evaluator) — 1 families","Judge: 15 actors / 16 families; Attorney: 10 actors / 10 families; CPS Worker: 4 actors / 4 families","https://my.standwithmeg.com/state-reports/MD.pdf"
"ME","","21","12","2542700","149570.59","10","4","30.6","9","0","9","9","Christine McIntire (GAL / Child Representative) — 1 families; David Paris (Judge) — 1 families; Jessica Braun (GAL / Child Representative) — 1 families","CPS Worker: 4 actors / 4 families; GAL: 2 actors / 2 families; Judge: 2 actors / 2 families",""
"","Mexico","1","1","120000","120000","0","0","36","2","0","2","2","Karina Ramirez (Attorney) — 1 families; Linda Marie Dunson (Judge) — 1 families","Attorney: 1 actors / 1 families; Judge: 1 actors / 1 families",""
"MI","","157","129","27583505","190231.07","69","35","36.1","225","10","215","279","Charles Simon III (Judge) — 9 families; Karen McFadden (GAL / Child Representative) — 8 families; Travis Carr (Attorney / GAL / Child Representative) — 8 families","Judge: 59 actors / 82 families; Attorney: 51 actors / 62 families; CPS Worker: 37 actors / 41 families","https://my.standwithmeg.com/state-reports/MI.pdf"
"MN","","70","56","10566946","165108.53","40","13","33.7","104","1","103","117","Darik Anderson (GAL / Child Representative) — 3 families; Ariel Olson (CPS Worker) — 2 families; Becky Brandt (Other) — 2 families","Attorney: 29 actors / 33 families; Judge: 25 actors / 28 families; Other: 19 actors / 20 families","https://my.standwithmeg.com/state-reports/MN.pdf"
"MO","","183","138","16796415","104977.59","98","34","42.5","277","2","275","303","Daren Adkins (Judge) — 3 families; Michelle Puckett (Attorney) — 3 families; Andy Hosmer (Judge) — 2 families","Attorney: 70 actors / 78 families; Judge: 64 actors / 76 families; CPS Worker: 52 actors / 55 families","https://my.standwithmeg.com/state-reports/MO.pdf"
"MP","","1","0","0","0","1","1","90","0","0","0","0","","",""
"MS","","52","39","7748994","176113.5","28","9","40.9","74","1","73","87","Amanda Heitmueller (Therapist / Counselor) — 3 families; Alison kizer (Judge) — 2 families; Cherieka Witherspoon white (Attorney / GAL / Child Representative / GAL / Child Representative) — 2 families","CPS Worker: 23 actors / 24 families; Attorney: 17 actors / 20 families; Judge: 14 actors / 19 families","https://my.standwithmeg.com/state-reports/MS.pdf"
"MT","","52","37","8880075","206513.37","30","15","51.1","79","4","75","97","Camisha Sawtelle (GAL / Child Representative) — 3 families; Dev Haegele (CPS Worker) — 3 families; Hon. Amy Poehling Eddy (Judge) — 3 families","Attorney: 24 actors / 27 families; Judge: 20 actors / 26 families; CPS Worker: 12 actors / 17 families","https://my.standwithmeg.com/state-reports/MT.pdf"
"NC","","184","134","33284654","204200.33","94","33","36.6","305","13","292","383","Shy-Kendra Lawson (CPS Worker) — 6 families; Tammy Smith (Attorney) — 6 families; Cindy Cronkhite (GAL / Child Representative) — 5 families","Attorney: 99 actors / 124 families; Judge: 82 actors / 111 families; CPS Worker: 52 actors / 61 families","https://my.standwithmeg.com/state-reports/NC.pdf"
"ND","","14","10","2835600","236300","8","1","33.6","15","0","15","16","Benjamen J. Johnson (Judge) — 2 families; Chris Kluth (Other) — 1 families; Cynthia Feland (Judge) — 1 families","Judge: 5 actors / 6 families; CPS Worker: 5 actors / 5 families; Attorney: 3 actors / 3 families",""
"NE","","40","33","6822635","184395.54","20","10","36.8","62","6","56","84","Audrey Long (GAL / Child Representative / Attorney / Attorney / GAL / Child Representative) — 7 families; James Worden (Judge) — 5 families; Kirk M. Fellhoelter (Attorney) — 4 families","Attorney: 20 actors / 24 families; Judge: 14 actors / 20 families; GAL: 9 actors / 17 families","https://my.standwithmeg.com/state-reports/NE.pdf"
"","New Zealand","1","1","70000","70000","1","1","12","0","0","0","0","","",""
"NH","","32","26","4728310","157610.33","18","9","24.1","83","0","83","89","Edward B. Tenney II (Judge) — 2 families; Fred Hoysradt (Attorney) — 2 families; Heather Clement (Therapist / Counselor) — 2 families","CPS Worker: 25 actors / 25 families; GAL: 13 actors / 14 families; Judge: 11 actors / 14 families","https://my.standwithmeg.com/state-reports/NH.pdf"
"NJ","","63","50","26831442","487844.4","40","6","25.5","67","0","67","71","Albert rescino (Judge) — 2 families; Dr D'Urso (Therapist / Counselor) — 2 families; Judge Burke (Judge) — 2 families","Judge: 25 actors / 28 families; Attorney: 18 actors / 18 families; CPS Worker: 8 actors / 8 families","https://my.standwithmeg.com/state-reports/NJ.pdf"
"NM","","26","22","2957460","134430","14","5","46.9","29","0","29","32","James Bristol (Attorney / GAL / Child Representative) — 2 families; Jane C. Levy (Judge) — 2 families; Rachel Kolman (Judge / Other) — 2 families","Attorney: 7 actors / 8 families; Judge: 6 actors / 8 families; CPS Worker: 6 actors / 6 families",""
"","Northern ireland","1","1","0","0","0","1","60","2","0","2","2","Ranaghan (Judge) — 1 families; Vera Curran (Custody Evaluator) — 1 families","Judge: 1 actors / 1 families; Custody Evaluator: 1 actors / 1 families",""
"NV","","42","30","5318910","151968.86","24","9","28.1","41","1","40","47","Adriana Rincon White (Judge) — 3 families; Ann kolber (Attorney) — 2 families; Brian (Attorney) — 2 families","Judge: 18 actors / 21 families; Attorney: 12 actors / 15 families; CPS Worker: 7 actors / 7 families","https://my.standwithmeg.com/state-reports/NV.pdf"
"NY","","161","126","25338388","177191.52","65","31","26.9","281","10","271","332","Elizabeth Faulkner (Attorney / Other) — 5 families; Jessica Rachwal (CPS Worker) — 4 families; Kelly Brinkworth (Judge) — 4 families","Attorney: 100 actors / 119 families; Judge: 76 actors / 98 families; GAL: 38 actors / 41 families","https://my.standwithmeg.com/state-reports/NY.pdf"
"OH","","247","195","24626604","111432.6","131","50","30.7","397","16","381","494","Kristen K Johnson (Judge) — 10 families; Kevin Greer (Judge) — 8 families; Dennis Kirk (GAL / Child Representative) — 6 families","Judge: 93 actors / 129 families; Attorney: 90 actors / 106 families; CPS Worker: 77 actors / 95 families","https://my.standwithmeg.com/state-reports/OH.pdf"
"OK","","150","119","17022276","120725.36","66","34","26.3","199","14","185","274","Emily Mueller (Judge) — 8 families; Jordan Dalgleish (GAL / Child Representative / Attorney) — 7 families; Cynthia Pickering (Judge) — 6 families","Attorney: 69 actors / 84 families; Judge: 46 actors / 73 families; GAL: 25 actors / 39 families","https://my.standwithmeg.com/state-reports/OK.pdf"
"OR","","71","56","10815330","174440.81","38","17","33.3","70","1","69","78","Landon Poppleton (Psychological Evaluator / Therapist / Counselor) — 5 families; David Hoppe (Judge) — 2 families; Debra velure (Judge) — 2 families","Judge: 19 actors / 23 families; Attorney: 21 actors / 21 families; CPS Worker: 12 actors / 12 families","https://my.standwithmeg.com/state-reports/OR.pdf"
"PA","","134","102","16354400","142212.17","66","25","34.4","145","0","145","150","Cathleen Cawood Bubash (Judge) — 2 families; Dr. Eric Bernstein (Psychological Evaluator / Custody Evaluator) — 2 families; Mark J. Powell (Judge) — 2 families","Judge: 47 actors / 50 families; Attorney: 31 actors / 32 families; CPS Worker: 29 actors / 29 families","https://my.standwithmeg.com/state-reports/PA.pdf"
"RI","","17","14","4962375","330825","8","5","28.5","36","1","35","43","RI DCYF (CPS Worker) — 3 families; Daniel Ballirano (Judge) — 2 families; Erica Janton (GAL / Child Representative) — 2 families","CPS Worker: 8 actors / 10 families; Judge: 8 actors / 10 families; Attorney: 8 actors / 9 families",""
"SC","","98","74","28272253","307307.1","54","16","26.4","138","12","126","194","Ashby Jones (Attorney) — 8 families; Stephanie Fajardo (GAL / Child Representative) — 5 families; Amanda Mueller (Mediator / GAL / Child Representative) — 4 families","Attorney: 44 actors / 59 families; GAL: 36 actors / 48 families; Judge: 27 actors / 45 families","https://my.standwithmeg.com/state-reports/SC.pdf"
"SD","","16","12","1567210","104480.67","5","2","33.1","26","0","26","26","Brenda Harvey (Attorney) — 1 families; Brian Mueller (Law Enforcement) — 1 families; Carisa Gerving (CPS Worker) — 1 families","Attorney: 8 actors / 8 families; Judge: 8 actors / 8 families; CPS Worker: 3 actors / 3 families",""
"","South Africa","9","8","1656999","184111","3","2","22.2","26","0","26","30","Bernard Altman (Psychological Evaluator) — 2 families; Janet McCurdie (Attorney / GAL / Child Representative) — 2 families; Leigh Pettigrew (Psychological Evaluator) — 2 families","Attorney: 9 actors / 11 families; Psychological Evaluator: 4 actors / 6 families; Judge: 5 actors / 5 families",""
"","Spain","1","1","170000","170000","0","0","48","1","0","1","1","Elena Zarraluqui (Attorney) — 1 families","Attorney: 1 actors / 1 families",""
"","Switzerland","1","1","350800","350800","0","0","48","4","0","4","4","Benedicte Balet (Judge) — 1 families; Christina Gaist (Judge) — 1 families; Elise Lazayres (CPS Worker) — 1 families","Judge: 2 actors / 2 families; CPS Worker: 2 actors / 2 families",""
"TN","","114","85","11216445","111053.91","51","29","37.8","147","4","143","168","Dianna Russell (Judge / GAL / Child Representative) — 5 families; Magistrate Angela Blevins (Judge) — 5 families; Lori Walker (Attorney) — 3 families","Judge: 46 actors / 59 families; Attorney: 33 actors / 36 families; GAL: 23 actors / 26 families","https://my.standwithmeg.com/state-reports/TN.pdf"
"TX","","289","228","63744195","248031.89","142","53","32.9","397","10","387","460","Karl Hays (Judge) — 7 families; Lindsey Wynne (Judge) — 5 families; Jean Lee (Judge) — 4 families","Judge: 106 actors / 143 families; Attorney: 124 actors / 130 families; GAL: 47 actors / 54 families","https://my.standwithmeg.com/state-reports/TX.pdf"
"","United Kingdom","6","6","6016200","1002700","3","1","60.7","18","0","18","18","Aurther (Judge) — 1 families; Becky foster (CPS Worker) — 1 families; Carol T (Other) — 1 families","CPS Worker: 8 actors / 8 families; Other: 3 actors / 3 families; GAL: 3 actors / 3 families",""
"","US Minor Outlying Islands","2","2","11500","11500","2","0","35","0","0","0","0","","",""
"UT","","53","40","13693543","285282.15","29","7","19.2","54","2","52","63","Catherine Conklin (Judge) — 5 families; Kyle Hancock (Custody Evaluator / Psychological Evaluator) — 4 families; Samuel Sorensen (GAL / Child Representative) — 2 families","Attorney: 17 actors / 18 families; Judge: 14 actors / 18 families; GAL: 7 actors / 8 families","https://my.standwithmeg.com/state-reports/UT.pdf"
"VA","","115","91","19392941","195888.29","71","27","29.8","159","0","159","171","Ayers (Judge) — 2 families; Cannon Morris (CPS Worker) — 2 families; Carrylon furrow (Attorney) — 2 families","Judge: 40 actors / 44 families; Attorney: 32 actors / 36 families; CPS Worker: 31 actors / 32 families","https://my.standwithmeg.com/state-reports/VA.pdf"
"VI","","1","1","2","2","1","0","","0","0","0","0","","",""
"VT","","8","5","532900","88816.67","5","0","16","5","0","5","5","Jean Kiewel (Attorney) — 1 families; John Nessbit (Therapist / Counselor) — 1 families; Joseph Lorhman (Judge) — 1 families","Attorney: 3 actors / 3 families; Therapist: 1 actors / 1 families; Judge: 1 actors / 1 families",""
"WA","","115","82","27974103","271593.23","72","26","28.5","138","1","137","152","William Singer (GAL / Child Representative / Other / Therapist / Counselor) — 5 families; Brooke Burns (Judge) — 2 families; Collette mccully (GAL / Child Representative) — 2 families","Judge: 37 actors / 40 families; Attorney: 37 actors / 39 families; GAL: 22 actors / 28 families","https://my.standwithmeg.com/state-reports/WA.pdf"
"WI","","64","50","8327589","141145.58","41","15","31.8","99","0","99","102","Borchardt (Attorney / GAL / Child Representative) — 2 families; Brooke joos (GAL / Child Representative) — 2 families; Jack Pitzo (Judge) — 2 families","GAL: 25 actors / 26 families; Judge: 23 actors / 24 families; Attorney: 22 actors / 23 families","https://my.standwithmeg.com/state-reports/WI.pdf"
"WV","","53","46","4465543","91133.53","26","9","38.3","80","1","79","89","Maggie Kuhl (Attorney / GAL / Child Representative) — 3 families; Christine Stump (Attorney) — 2 families; Grady Ford (Attorney / GAL / Child Representative / Judge) — 2 families","Attorney: 24 actors / 28 families; Judge: 20 actors / 24 families; CPS Worker: 13 actors / 13 families","https://my.standwithmeg.com/state-reports/WV.pdf"
"WY","","9","7","1254010","179144.29","3","2","22","12","0","12","12","Amanda (CPS Worker) — 1 families; Diamond (Other) — 1 families; Dough weatherly (GAL / Child Representative) — 1 families","Other: 3 actors / 3 families; Judge: 3 actors / 3 families; Attorney: 3 actors / 3 families",""
